text,category,priority
Pirnter in floor 3 is jammed and shwos error code E373.,Hardware Issue,Medium
SAP transactions are tiimng out and running very slowly today.,Performance Issue,Low
"Multpile failed login attempts detected on my account overnight. Potential security breach, pease investigate immediately. pls",Security Incident,High
"Hi team, Reports in BI dashboard take over 5 minutes to load.",Performance Issue,Medium
"Hi taem, Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Etnire team is unable to accss critical systems.",Network Problem,High
"Cannot reach VPN, connection timed out while pinging 10.0.11.16.2",Network Problem,Low
"Cannot reach VPN, connection timed out while pinging 10.0.17.75. Entire taem is unable to acecss critical systems.",Network Problem,High
SAP transactions are timing out and runnng very slowly today. This is delaying critical mont-end processing.,Performance Issue,High
Users in banch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet,Network Problem,Critical
SSO login falis with 'invalid credentials' een after password reset.,Account Issue,Medium
"My AD account is locked, can't log into Windows or email.",Account Issue,Medium
"Hi team, SAP transactions are timing out and running very slowly today.",Performance Issue,Medium
Getting 'account disabled' message when trying to sign in.,Account Issue,Medium
Monitor flickers and sometimes goes completely black during meetings.,Hardware Issue,Low
Password erset link for my account has expired multiple times.,Account Issue,Medium
Antivirus detected Trojan on my machine connecting to 192,Security Incident,High
"Hi team, Please grant read-only accses to VPN for user r.kumar.",Access Request,Low
"Hi team, SAP transactions are timing out and running very slowly toda.y This is delaying critical month-ed processing.",Performance Issue,Critical
"Hi team, iWFi keeps droping evey few minutes in meeting rom A.",Network Problem,Medium
"Hi team, USB ports on the docking station stopped working after last restart. This is blocking my work and I have deadlines today.",Hardware Issue,High
Excel plugin for reporting fails with stacktrace: ORA-7408. pls,Software Bug,Low
Outlook keps crashing with error 0x80070005 when sending emails.,Software Bug,Low
Printer in floor 3 is jammed and shows errr code E298. tnx,Hardware Issue,Low
"Hi team, Multiple failed login attempts dtected on my account overnigth. Potential security breach, please investigate mimediately.",Security Incident,Critical
Rmote edsktop to production server is laggy and unusabel,Performance Issue,Medium
"Hi team, Please grant read-only access to Confluence for usr jdoe.",Access Request,Low
"Excel plugin for reporting fails with stacktrace: ORA-9587. Needs immediate fix, critcial business rpocess impacted.",Software Bug,High
SAP transactions are timing out and running very slwly today.,Performance Issue,Low
Outlook keeps crashing with error 0x8070005 when sending emails.,Software Bug,Medium
"Hi team, I lost access to HR portal aftr role change, getting access denied.",Access Request,Medium
"After the latest update, our ERP client freezes on the login csreen. Nedes imediate fix, critical business process impacted.",Software Bug,High
Getting 'account disabled' message when trying to sgin in.,Account Issue,Medium
"Hi team, Antivirus detected Trojan on my machine connecting to 192.168.8.74. Potential security breach, please investigate immediately.",Security Incident,High
WiFi ekeps dropping evry few minutes in meeting room A. Entire team is unable to access critical systems.,Network Problem,High
"Received phishing emil asking for bank details fom fake IT support. Potential seucrity breach, please investigate immediately.",Security Incident,Critical
"Hi team, Antivirus detected Trojan on my machine connecting to 192.168.0.412. Potential security breach, pease investigate immediately.",Security Incident,High
Users in branch offce report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet.,Network Problem,Low
WiFi keeps dropping every few minutes in meeting room A,Network Problem,High
"Hi team, I lost access to Confluence after role change, geting access denied.",Access Request,Medium
My laptop keeps shuttnig down randomly while working on VPN. This is blocking my work and I have deadlines today.,Hardware Issue,High
"I lost access to Jira after role change, getting access denied. User is blocked from on-boarding tasks.",Access Request,High
Remote desktop to production server is laggy and unusable.,Performance Issue,Medium
SSO login fails with 'invalid credentials' even after password reset. asap,Account Issue,Low
Please grnt read-only acess to VPN for user asmith. User is blocked from on-bording tasks.,Access Request,High
Getting intermittent packet loss when accessing remtoe dekstop.,Network Problem,Medium
New joiner m.garcia needs access to HR prtal with standard permissions.,Access Request,Low
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Entrie tema is unable to acess critical sytsems.,Network Problem,High
"Noticed unknown software installed that I did not approve. Potential sceurity breach, please investigate immediately.",Security Incident,High
Printer in floor 3 is jammed and shows error code E169,Hardware Issue,Low
"My AD account is locked, can't log into Windows or email.",Account Issue,Low
"Noticed unknown software installed that I did not aprove. Potential security breach, please investigate immediately.",Security Incident,Critical
"Cannot reach VP,N connection timed out while pinging 10.0.19.124. Entire team is unable to access critical sysetms.",Network Problem,High
"I lost access to SAP after role chnage, getting access dneied. tnx",Access Request,Low
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intrnet. Entre team is unable to access critical systems.,Network Problem,High
"Hi team, Cannot reach VPN, connection timed out while pnging 10.0.18.230. tnx",Network Problem,Medium
Reports in BI dashboard take over 5 minutes to load.,Performance Issue,Medium
WiFi keeps dropping every few minues in meeting room A.,Network Problem,Medium
Getting 'account disabled' message when trying to sgn in.,Account Issue,Medium
"The keyboard on my desktop is not responding, tried reconnecting USB",Hardware Issue,Low
Getting intermittent packet loss hwen accessing remote desktop. Entire team is unable to accses critical systems.,Network Problem,High
"Hi team, Outloko keeps crashing with eror 0x80070005 when sending emails",Software Bug,Medium
Remote desktop to production server is laggy and uusable,Performance Issue,Medium
"Hi tema, The finance app throws HTTP 500 internal server reror on login.",Software Bug,Medium
Getting 'account disabled' message when trying to sign in.,Account Issue,Medium
Please grant read-only acecss to Salsforce for user jdoe.,Access Request,Low
"My AD account is olcked, can't log into Windows or email.",Account Issue,Medium
"After the latest update, our ERP client freezes on the login sreen",Software Bug,Medium
Antivirus detected Trojan on my machine connecting to 192,Security Incident,High
Password rest link for my account has expired multiple times.,Account Issue,Medium
SSO login fails wih 'invalid credentials' even after password reset.,Account Issue,Low
"Hi team, My AD account is locked, can't log into Windows or email.",Account Issue,Medium
"Received phshing email asking for bnk detaisl fom afke IT support. Potential security breach, please investigate immediately.",Security Incident,Critical
"After the latest update, our ERP clent freezes on the loin screen tnx",Software Bug,Medium
"Hi team, Latency to our database server at 10",Network Problem,High
"Hi tema, USB ports on the docking station tsopped working after last retsart.",Hardware Issue,Medium
My laptop keeps shutting down randomly while working on VPN.,Hardware Issue,Low
"The keyboard on my desktop is not responding, tried reconnecting USB.",Hardware Issue,Medium
"Atfer the latest update, our ERP client freezes on the login sceren.",Software Bug,Low
Getting 'account disabled' message when trying to sign in. asap,Account Issue,Medium
"My AD account is locke,d can't log into Windows or emai. pls",Account Issue,Low
Getting intermittent packt lsos when accessing remote desktop. Entire team is unable to acces critical systems.,Network Problem,High
SSO login fails with 'invalid crednetials' even fater psasword reset. asap,Account Issue,Medium
Latency to our database server at 10.0.2.33 is ovre 300ms. Entire team is unable to access critical systems. urgnt,Network Problem,High
"Hi team, Cannot reach VPN, connection timed out while pinging 10.0.18.250. Entire team is unbale to access critical systems.",Network Problem,High
Printer in floor 3 is jammed and shows error ocde E970. This is blocking my work and I have deadlines today.,Hardware Issue,Critical
"Getting error 'NullReferenceException' whenever I try to save in the CRM. Needs immediate fx, critical business process impacted.",Software Bug,High
Requesting VPN access for contractor jdoe for the next 3 monhts,Access Request,Low
Please rgant read-only access to Confluene for user r.kumar.,Access Request,Low
"Hi team, Requesting VPN access for contractor m.garia for the next 3 months. urgnt",Access Request,Medium
"Excel plugin for reportig fails with stacktrace: ORA-2562. eNeds immediate fix, crtiical business porcess impacted.",Software Bug,High
"Hi team, Excel plugin for reporting falis with stacktrace: ORA-4122",Software Bug,High
Remote desktop to production server is laggy and unusable.,Performance Issue,Medium
"Hi team, Noticed unknown software installed that I did not apporve. Potetnial security breach, please invstigate immdeiately.",Security Incident,High
Priter in floor 3 is jammed and shows error cdoe E67,Hardware Issue,High
"Hi team, New joinre jdoe nees access to SAP with standard permissions",Access Request,High
"Hi team, Requesting VPN access for contractor jdoe for the next 3 months.",Access Request,Low
"Hi team, After the latest update, our ERP clent freezes on the login screen.",Software Bug,Low
"After the latest update, our ERP client frezees on the login screen. Needs immediate fix, critical business procss impacted. asap",Software Bug,Critical
"Hi team, Latency to our database server at 10..00.147 is over 300ms. Entier team is uanble to access critical systems. urgnt",Network Problem,Critical
"Cannot reach VPN, connection timed out while pinging 10",Network Problem,Critical
Remote desktop to proudction server is laggy and unusable. hTis is delayign critical month-end procsesing.,Performance Issue,High
Printer in floor 3 is jammed and shows error code E195. Tis is blocking my work and I have deadlines today.,Hardware Issue,High
"Noticed uknnown softare installed that I did not approve. Potential security breach, please investigate immediatley.",Security Incident,High
"The keyboard on my desktop is not responding, tried reconnecting USB.",Hardware Issue,Low
"After the latest updat, our ERP client freezes on the login screen. Needs immediate fix, critical business process impacted.",Software Bug,High
"I lost access to SAP after role change, getting access denied.",Access Request,Medium
"After the latest update, our ERP client freezes on the login screen",Software Bug,Critical
"Hi team, Outlook keeps crashing with error 0x80070005 when sending emails.",Software Bug,Medium
USB ports on the docking station stoped working after lst restart.,Hardware Issue,Low
SSO login fails with 'invalid credentials' even after password reset.,Account Issue,Medium
Please grant read-only acess to Confluence for user jdoe.,Access Request,Low
Password reset link for my account has expired mutliple time.s Need urgent help to join production call.,Account Issue,High
My laptop keeps shutting down randomly while working on VNP.,Hardware Issue,Medium
"Hi team, Requesting VPN access for contactor m.garcia for the next 3 months.",Access Request,Medium
"Hi team, WiFi kepes dropping every few minutes in meeting rom A. Entire team is unable to access critical systems.",Network Problem,Critical
"Received phishing email asking for bank details frm fake IT support. Potentail security breach, please investigate immediately.",Security Incident,High
Requesting VPN access for contractor asmith for the next 3 months.,Access Request,Low
"Hi team, Laptop is extremely slow, apsp take minutes to open. This is delaying critical month-end processing.",Performance Issue,Critical
"Hi team, Noticed unknown softwre intalled that I did not approve.",Security Incident,Medium
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on inranet. Enire team is unable to access critical systems.,Network Problem,Critical
"Laptop is extremely slow, apps take minutes to open",Performance Issue,Medium
New joiner asmith needs access to Confluence wtih standard permissions.,Access Request,Medium
Getting intermittent packet loss when accessing remote edsktop. Entire team is unable to access critical systems.,Network Problem,High
SSO login fails iwth 'invalid credentials' even after password reset.,Account Issue,Medium
Antivirus detected Trojan on my machine connecting to 192,Security Incident,Critical
"After the latest update, our ERP client frezes on the login scren.",Software Bug,Low
"Hi team, Requesting VPN acces for contractr rk.umar for the next 3 months.",Access Request,Medium
SSO login fais with 'invalid credetnials' even after password reset.,Account Issue,Medium
Password reste lnk for my account has expred multiple times.,Account Issue,Medium
Printer in floor 3 is jammed and shows error code E344.,Hardware Issue,Medium
"Laptop is extremely slo,w apps take minutes to open.",Performance Issue,Medium
Reote desktop to production server is lggy and uunsable.,Performance Issue,Medium
"Multiple failed olgin attempts detected on my account overnight. Potential securiyt breach, please investigate immediately.",Security Incident,Critical
"Multiple failed login attempts detected on my account overnight. Ptoential security breach, please investigate immediately.",Security Incident,Critical
"Hi team, I lst access to SAP after role change, getting access denied",Access Request,Medium
SSO login fails with 'invalid credentials' even after password reset.,Account Issue,Medium
Printer in floor 3 is jammed and shows error code E581.,Hardware Issue,Medium
"Hi team, Monitor flickers and sometimes goes comlpetely lback during meetings tnx",Hardware Issue,High
SAP transactions are tiimng out and running very slwoly today.,Performance Issue,Low
USB ports on the docking station stopped working after last restart,Hardware Issue,Medium
"Hi team, Printer in floor 3 is jammed and shows error code E473.",Hardware Issue,Medium
"Hi team, Noticed unknown software installed that I did not approve",Security Incident,Medium
"After the latest update, our ERP client freezes on the login sreen",Software Bug,Low
"I lost access to Salesforce after role change, getting access denied.",Access Request,Medium
Remote dsektop to production server is laggy and unusable. This is delaying critical month-end pocessing.,Performance Issue,Critical
Ltaency to our database server at 10.0.4.92 is oer 300ms. Entire team is unable to access critical systems. urgnt,Network Problem,Critical
SAP transactions are timing out and running very slowly today.,Performance Issue,Medium
Printer in floor 3 is jamed and shwos error code E324. This is blockig my work and I have deadlines today.,Hardware Issue,Critical
WiFi keps dropping every few mintes in meeting room A. Entire team is unable to access critical system.,Network Problem,Critical
"I lost access to Salesforce aftr role change, getting cacess denied.",Access Request,Medium
SAP transacitons are timing out and running vrey slowly today.,Performance Issue,Medium
"Multiple failed login attempts detected on my cacount overnight. Potential security breach, please investigate immediately.",Security Incident,High
Getting 'account idsabled' message when trying to sgin in.,Account Issue,Medium
"Multiple failed login attempts detected on my account overnight. Potential security breach, please investigate immediately. urgnt",Security Incident,High
"Hi team, Received phishig email asking for bank details from fake IT support",Security Incident,Medium
Excel plugni for reporting fails with stacktrace: ORA-9260,Software Bug,Medium
Printer in floor 3 is jammed and shows error code E517. This is blocking my wrk and I have deadlines tday. urgnt,Hardware Issue,High
Reports in BI dashboard take over 5 minutes to load. Tis is delaying critical month-end processing.,Performance Issue,High
"After the latest update, our ERP client freezes on the login screen.",Software Bug,Low
Printer in floor 3 is jammed and shows error code E838.,Hardware Issue,Low
"Hi tam, Please grant read-only access to SAP for uer jdoe. asap",Access Request,Low
Latnecy to our database servr at 10.0.8.139 is ovr 300ms. Entire team is unable to access critical systems.,Network Problem,High
"Hi team, Cannot reach VPN, connection timed out while pinging 10 urgnt",Network Problem,High
"The keyboard on my desktop is not responding, tried reconnecting USB. This is blocking my work and I have deadlines today.",Hardware Issue,High
"Hi team, The finance app throws HTTP 500 internal server error on loin. Neds immedaite fix, critical business porcess impacted.",Software Bug,High
Requestnig VPN access for contractor r.kumar for the next 3 monhs.,Access Request,Medium
"Cannot reach VPN, connection timed out hwile pinging 10.0.8.35. tnx",Network Problem,Medium
Reports in BI dashboard take over 5 minutes to load,Performance Issue,Medium
Requesting VPN access for contractor m.garcia for the enxt 3 months.,Access Request,Low
"Antivirus detected Trojan on my machine connecting to 192.168.4.160. Potential secruity breach, lpease investigate immediately. pls",Security Incident,High
Anitvirus detected Trojan on my machine connectnig to 192.168.10.206.,Security Incident,Medium
"After the latest update, our ERP client freezes on the lgoin screen.",Software Bug,Medium
"Afer the latest update, our ERP client freezes on the login screen. eNeds immediate fix, critical business process impacted. asap",Software Bug,High
"Hi tea,m Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet.",Network Problem,Medium
"Cannot reach VPN, conection timed out whie pining 10.0.16.155. Entire team is unable to access crtiical systems.",Network Problem,Critical
"Hi taem, After the latest update, our ERP client freezes on the login screen.",Software Bug,Medium
Monitor lfickers and osmetimes geos completely black during meetings. This is blocking my wrk and I have deadines today.,Hardware Issue,High
"Hi team, Antivirus detected Trojan on my machine connecting to 192.168.6.45.",Security Incident,Medium
Monitor flicekrs and sometimes goes cmpletely back during meetings.,Hardware Issue,Medium
"Hi team, Getting error 'NullReferenceException' whenever I try to save in the CRM.",Software Bug,Low
Remote desktop to production serer is laggy and unusable,Performance Issue,Medium
"Hi team, Printer in floor 3 is jammed and shows error ocde E77.",Hardware Issue,Medium
"Multiple faild login attempts detected on my account overnight. Potential security breach, please investigate immediately.",Security Incident,High
Please grnat read-only access to VPN for user r.kumar. Usre is blocked from on-boarding tasks.,Access Request,Critical
"Hi team, Cannot reach VPN, connection timed out while pinging 10",Network Problem,High
"Noticed unknown software installed taht I did not approve. Potential sceurity breach, please investigate immediately.",Security Incident,High
New joiner r.kumar needs access to Jira with standard permissions.,Access Request,Medium
"Hi team, Received phishing meail asking for bank details from fake IT support",Security Incident,Medium
"Hi team, My AD account is locked, can't log itno Wndows or email.",Account Issue,Medium
Excel plugin for reporting fails wih stacktrace: ORA-3415,Software Bug,High
SSO lgin fails with 'invalid credentials' even after password reset,Account Issue,Medium
Requesting VPN access for contractor jdoe for the next 3 months. sUer is blocked from on-boarding tasks.,Access Request,High
"After the latest updat,e our ERP client freezes on the login screen tnx",Software Bug,Low
"Hi team, WiFi keeps dropping every few minutes in meeting room A. Entire team is unable to access critical systems.",Network Problem,Critical
Please grant read-only access to SAP for user asmith,Access Request,Low
WiFi keeps dropping every few minutes in meeting room A.,Network Problem,Low
"Laptop is extremely slow, apps tkae minutes to open. Tis is delaying critical month-end processig.",Performance Issue,Critical
Reports in BI dashboard tke ovr 5 minutes to load. hTis is deaying critical month-end proessing. asap,Performance Issue,High
Getting intermittent packet lss when accessing remote desktop,Network Problem,High
SSO login fails with 'invalid credentials' eevn after password reset,Account Issue,High
Getting 'account disabled' message when trynig to sgn in.,Account Issue,Medium
"Hi team, Getting intermittent packet loss when accessing reomte desktop. Entire team is unable to acces critical systems.",Network Problem,Critical
Outlook keeps crashing with errr 0x8070005 when sending emals pls,Software Bug,High
Requesting VPN access for contractor r.umar for the next 3 montsh.,Access Request,Medium
Multiple faield login attepmts detected on my acconut ovenight,Security Incident,High
Montor flickers and sometimes goes completely black during meetings. This is blocking my work and I have dealdines today.,Hardware Issue,High
Monitor flickers and sometimes goes completely black during meetings.,Hardware Issue,Low
Please grnt read-only access to SAP for user jde.,Access Request,Medium
Password reset lnk for my account has expired multiple times. Need urgent help to join production call.,Account Issue,High
"Antivirus deteced Trojan on my mcahine connetcing to 192.168.10.94. Potential security breach, please investigate immediately.",Security Incident,High
Reprts in BI dashboard take over 5 minutes to load,Performance Issue,Medium
WiFi keeps dropping evry few minutes in meetig room A.,Network Problem,Medium
"I lost accses to Conflence after role change, getting access denied. tnx",Access Request,Medium
Recived phishing email asking for bank details from fake IT supoprt,Security Incident,High
"After the latest update, our ERP client freezes on the login screen. Needs immediate fi, critical business process impacted.",Software Bug,High
SAP transactions are timing out and running very slowly today.,Performance Issue,Low
"I lost access to Jira fater rle change, geting access denied.",Access Request,Medium
"Hi tema, Users in brnach office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Entire team is unable to access critical systems.",Network Problem,High
"Afer the latet update, our ERP cient freezes on the login screen. Needs immediate fix, critical business process impacted.",Software Bug,Critical
"I lost access to SAP after role change, getting access denied",Access Request,High
"Hi team, Getting error 'NullReferenceException' whenever I try to save in the CRM",Software Bug,Medium
Password reset lnk for my account has expired multiple times.,Account Issue,Medium
Multiple failed login attemps deteced on my cacount overnight,Security Incident,High
Noticed unknown software installed that I did not approve asap,Security Incident,Medium
"Hi team, Please grant read-only access to VPN for user r.kumar. tnx",Access Request,Medium
Latency to our database server at 01.0.14.154 is over 300ms. Entire team is unable to access critical systems.,Network Problem,High
Received phishing email asking for bnak details frmo fake IT support,Security Incident,Critical
"The finance app thorws HTTP 500 internal server error on login. Needs immediate fix, critical business process impacted.",Software Bug,High
The finance app trhows HTTP 500 internal serevr error on login.,Software Bug,Low
USB ports on the docking station stopped working after last restart. This is blocking my wok and I have deadlines toda.,Hardware Issue,High
"Excel plugin for reporting fails with stacktrace: ORA-3619. Needs immediate fix, critical business process imacted. urgnt",Software Bug,High
"The keyboard on my desktpo is not responding, tried reconnecting USB. This is blocking my work and I hvae deadlines today.",Hardware Issue,Critical
Printer in floor 3 is jammd and hsows error code E345. This is blocking my work and I have deadlines today.,Hardware Issue,High
Mnoitor flickers and sometimes goes completely black during meetings. tnx,Hardware Issue,Medium
"Hi tem, New joiner jdoe needs acecss to Jira with tsandard permissions",Access Request,Medium
"Outlook keeps crashing with eror 0x80070005 when sending emails. Needs immediate fix, critical busiess porcess impacted.",Software Bug,High
"Hi team, The keyboard on my desktop is not responding, tried reconnecting USB.",Hardware Issue,Low
Password reset link for my account has expired multiple times.,Account Issue,Low
"Hi team, I lost access to Salesforce after role change, getting access denied.",Access Request,Low
Mnitor lfickers and sometimes goes compleetly black during meetings. This is blocking my work and I have deadlines today.,Hardware Issue,High
SSO login fails with 'invalid credentials' even aftr password reset.,Account Issue,Medium
Nticed unknown software installed that I did not approve.,Security Incident,Medium
Usesr in branch office report 'DNS_PROBE_FINSIHED_NXDOMAIN' on intranet,Network Problem,High
Requesting VPN accss for contractor jdoe for the next 3 months. pls,Access Request,Medium
Psasword reset link for my account has expied multiple times.,Account Issue,Medium
Getting intermittent packet loss wen accessing remote desktop.,Network Problem,Medium
"Received phishing email askign for bank details from fake IT support. Potential securtiy breach, please investigate immediately.",Security Incident,Critical
WiFi keeps dropping every few minutes in meeting room A. Entire team is unable to access criitcal systems.,Network Problem,Critical
Reports in BI dashboard take over 5 minutes to load,Performance Issue,Medium
"I lost access to SAP after rle change, getitng access denied.",Access Request,Low
Getting 'account disabled' message hwen trynig to sign in.,Account Issue,Medium
"My AD account is locked, can't log into Windows or emil. pls",Account Issue,Medium
"I lost access to HR portal after role change, getting access denied. pls",Access Request,Medium
"Getting error 'NullReferenceException' whenever I try to asve in the CRM. Needs immediate fix, critical business porcess impacted.",Software Bug,High
"My AD account is locked, can't log into Windows or email.",Account Issue,Low
"Hi tam, Mnoitor filckers and sometimes ges completely black during meetings.",Hardware Issue,Medium
"My AD account is locked, can't log into Windows or email.",Account Issue,Medium
"Hi team, Printer in floor 3 is jammed and shows error coed E23.",Hardware Issue,Medium
"My AD account is locekd, cant' log nito Windows or email",Account Issue,Medium
Remote desktop to produciton server is laggy and unusable.,Performance Issue,Low
Received phishing email asking for bank details rfom fake IT support,Security Incident,Medium
"Hi team, Excel plugin for repotring fails with stacktrace: ORA-9709",Software Bug,Medium
Multiple falied login attempts detected on my cacount overnight.,Security Incident,Medium
Received phishing email asking for bank details from fake IT support,Security Incident,Medium
"Hi team, Users in branch ofice report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet",Network Problem,Critical
"After the latest update, our ERP client freezse on the logni screen.",Software Bug,Medium
"Antivirus detected Trojan on my machine connecting to 192.168.7.157. Potential security breach, please investigate immediately.",Security Incident,Critical
"Notced unknown software installed that I did not approve. Potential security breach, please investigate immediately.",Security Incident,High
My laptop keeps shutting down randomly while working on VPN. This is blocking my work and I have deadlines today.,Hardware Issue,High
"Hi team, Password reset link for my account has expired multiple times.",Account Issue,Medium
"My AD account is locked, can't log into Windows or email.",Account Issue,Medium
Requesting VPN access for contractor jdoe for the next 3 months.,Access Request,Medium
New joinre jdoe needs access to Jira with standard permissions,Access Request,Medium
New joiner jdoe eneds access to SAP with standard permissions,Access Request,Low
"Hi team, Gtting intermittent packet loss when accessing remote desktop. Entire team is unable to access critical systems.",Network Problem,Critical
"Getting error 'NullReferenceException' whenever I try to save in the CR.M Neds immediate fix, critical business prcoess ipmacted.",Software Bug,High
Antivirus detected Trojan on my machine connecting to 192.168.1.42.,Security Incident,Medium
New joiner asmith needs access to Jira with standard permissions.,Access Request,Low
"Hi team, Requesting VPN access for contactor r.kumar for the next 3 months.",Access Request,Medium
"Hi team, Noticed unknown software installed that I did not approe",Security Incident,High
USB ports on the docking station stopped workign after last restart. This is blocking my work and I have deadlines today.,Hardware Issue,High
"Antivirus detected Trojan on my machie connectign to 192.168.8.84. Potentila security breach, please investigate immediately.",Security Incident,High
aPssword reset link for my account has expied multiple times,Account Issue,Medium
"Antivirus detected Trojan on my machine connecting to 192.168.4.417. Potential security breach, please investigate immediately.",Security Incident,Critical
"Cannot reach VPN, connection timed out while pinging 10.0.17.84.",Network Problem,Medium
SSO login fails with 'invalid credentials' even after password reest.,Account Issue,Low
SAP transactions are timing out and running very slowly today.,Performance Issue,Medium
My laptop keeps shutting down randomly while woking on VPN. Tihs is blocking my work and I have deadlines today.,Hardware Issue,High
Getting error 'NullReferenceException' whenever I try to save in the CRM.,Software Bug,Medium
Getting error 'NullReferenceException' whenever I try to save in the CRM,Software Bug,Medium
Excel pluin for reporting fais with stacktrace: ORA-8972,Software Bug,High
"Ativirus detected Trojan on my machine connecting to 192.68.3.64. Potential escurity breach, please investigate immediately.",Security Incident,Critical
Users in brach office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Entire team is unable to accses critical systems.,Network Problem,High
"Hi team, Getting intermittent packet loss when accessing remote desktop.",Network Problem,Medium
"Hi team, Multiple failed login attempts detected on my account overnight. Potential security breach, please investigate immediately.",Security Incident,Critical
Password reset link for my account has expired multiple times.,Account Issue,Medium
Latency to our database sever at 10.0.10.134 is over 300ms. Entire team is unable to cacess critical systems.,Network Problem,High
"Cannot reach VPN, connection timed out while pinging 10.0.6.187. Entire team is unable to access critical systems.",Network Problem,Critical
Reports in BI dashboard take oer 5 minutes to load,Performance Issue,Medium
New joiner asmith needs acess to SAP with standard permissions.,Access Request,Low
My laptop keeps shutting down randomly whlie woking on VPN. This is blocking my work and I have deadlines toady. urgnt,Hardware Issue,Critical
Remote desktop to proudction server is laggy and unusable asap,Performance Issue,Low
"Laptop is extremely slow, apps take minutes to open. This is delaying critical mont-end processing.",Performance Issue,Critical
Reports in BI dashboard take over 5 minutes to load,Performance Issue,Low
Getting error 'NullReferenceException' whenever I try to save in the CRM,Software Bug,High
"Antivirus detected Trjan on my machine connecting to 192.168.4.229. Potential security breach, please investigate immediately.",Security Incident,High
Excel plugin for reporting fails with stacktrace: ORA-2449.,Software Bug,Low
Requesting VPN access for contractor jdoe for the next 3 months.,Access Request,Medium
"Hi team, Getting eror 'NullReferenceException' whenever I try to save in the CRM. Needs immediate fix, critcial ubsiness process impacted.",Software Bug,High
"Hi team, Outlook keeps rcashing with errr 0x80070005 when sending email.",Software Bug,Medium
"Cannot reach VPN, connection timed out while pinging 10.0.6.134.",Network Problem,Low
Requesting VPN access for contractor r.kumar for the next 3 months. tnx,Access Request,Low
"Hi team, The finance app throws HTTP 500 internal server errr on login. Needs immediate fix, critical business process impacted.",Software Bug,High
"Cannot reahc VPN, connection timed out wihle pinging 10.0.1457. Entire team is unable to access critical systems.",Network Problem,High
